id,Year,Rank,Home Games,Team Name,Baseball Field,Team ID
388,1925.0,5.0,77.0,Chicago White Sox,Comiskey Park,CHW
389,1925.0,8.0,77.0,Chicago Cubs,Wrigley Field,CHC
390,1925.0,3.0,76.0,Cincinnati Reds,Crosley Field,CIN
391,1925.0,6.0,77.0,Cleveland Indians,League Park II,CLE
392,1925.0,4.0,77.0,Detroit Tigers,Navin Field,DET
393,1925.0,2.0,76.0,New York Giants,Polo Grounds IV,NYG
394,1925.0,7.0,79.0,New York Yankees,Yankee Stadium I,NYY
395,1925.0,2.0,77.0,Philadelphia Athletics,Shibe Park,PHA
396,1925.0,6.0,77.0,Philadelphia Phillies,Baker Bowl,PHI
397,1925.0,1.0,77.0,Pittsburgh Pirates,Forbes Field,PIT
398,1925.0,3.0,78.0,St. Louis Browns,Sportsman's Park IV,SLB
